start_date,end_date,prod,region_id
2015-01-01T00:00:00.000Z,2015-01-31T00:00:00.000Z,171725,93
2015-02-01T00:00:00.000Z,2015-02-28T00:00:00.000Z,188325,93
2015-03-01T00:00:00.000Z,2015-03-31T00:00:00.000Z,247856,93
2015-04-01T00:00:00.000Z,2015-04-30T00:00:00.000Z,282791,93
2015-05-01T00:00:00.000Z,2015-05-31T00:00:00.000Z,291057,93
2015-06-01T00:00:00.000Z,2015-06-30T00:00:00.000Z,287502,93
2015-07-01T00:00:00.000Z,2015-07-31T00:00:00.000Z,288086,93
2015-08-01T00:00:00.000Z,2015-08-31T00:00:00.000Z,313321,93
2015-09-01T00:00:00.000Z,2015-09-30T00:00:00.000Z,299337,93
2015-10-01T00:00:00.000Z,2015-10-31T00:00:00.000Z,300383,93
2015-11-01T00:00:00.000Z,2015-11-30T00:00:00.000Z,246005,93
2015-12-01T00:00:00.000Z,2015-12-31T00:00:00.000Z,201231,93
2016-01-01T00:00:00.000Z,2016-01-31T00:00:00.000Z,163841,93
2016-02-01T00:00:00.000Z,2016-02-29T00:00:00.000Z,166663,93
2016-03-01T00:00:00.000Z,2016-03-31T00:00:00.000Z,185974,93
2016-04-01T00:00:00.000Z,2016-04-30T00:00:00.000Z,200456,93
2016-05-01T00:00:00.000Z,2016-05-31T00:00:00.000Z,207485,93
2016-06-01T00:00:00.000Z,2016-06-30T00:00:00.000Z,229105,93
2016-07-01T00:00:00.000Z,2016-07-31T00:00:00.000Z,232726,93
2016-08-01T00:00:00.000Z,2016-08-31T00:00:00.000Z,264981,93
2016-09-01T00:00:00.000Z,2016-09-30T00:00:00.000Z,280248,93
2016-10-01T00:00:00.000Z,2016-10-31T00:00:00.000Z,284922,93
2016-11-01T00:00:00.000Z,2016-11-30T00:00:00.000Z,274107,93
2016-12-01T00:00:00.000Z,2016-12-31T00:00:00.000Z,254881,93
2017-01-01T00:00:00.000Z,2017-01-31T00:00:00.000Z,211810,93
2017-02-01T00:00:00.000Z,2017-02-28T00:00:00.000Z,214747,93
